States,2018
.Alabama,"4,887,681"
.Alaska,"735,139"
.Arizona,"7,158,024"
.Arkansas,"3,009,733"
.California,"39,461,588"
.Colorado,"5,691,287"
.Connecticut,"3,571,520"
.Delaware,"965,479"
.District of Columbia,"701,547"
.Florida,"21,244,317"
.Georgia,"10,511,131"
.Hawaii,"1,420,593"
.Idaho,"1,750,536"
.Illinois,"12,723,071"
.Indiana,"6,695,497"
.Iowa,"3,148,618"
.Kansas,"2,911,359"
.Kentucky,"4,461,153"
.Louisiana,"4,659,690"
.Maine,"1,339,057"
.Maryland,"6,035,802"
.Massachusetts,"6,882,635"
.Michigan,"9,984,072"
.Minnesota,"5,606,249"
.Mississippi,"2,981,020"
.Missouri,"6,121,623"
.Montana,"1,060,665"
.Nebraska,"1,925,614"
.Nevada,"3,027,341"
.New Hampshire,"1,353,465"
.New Jersey,"8,886,025"
.New Mexico,"2,092,741"
.New York,"19,530,351"
.North Carolina,"10,381,615"
.North Dakota,"758,080"
.Ohio,"11,676,341"
.Oklahoma,"3,940,235"
.Oregon,"4,181,886"
.Pennsylvania,"12,800,922"
.Rhode Island,"1,058,287"
.South Carolina,"5,084,156"
.South Dakota,"878,698"
.Tennessee,"6,771,631"
.Texas,"28,628,666"
.Utah,"3,153,550"
.Vermont,"624,358"
.Virginia,"8,501,286"
.Washington,"7,523,869"
.West Virginia,"1,804,291"
.Wisconsin,"5,807,406"
.Wyoming,"577,601"
Puerto Rico,"3,193,354"